"","city","id","type","squareMeters","rooms","floorCount","buildYear","latitude","longitude","centreDistance","poiCount","schoolDistance","clinicDistance","postOfficeDistance","kindergartenDistance","restaurantDistance","collegeDistance","pharmacyDistance","hasParkingSpace","hasBalcony","hasElevator","hasSecurity","hasStorageRoom","price","population"
"1","Białystok","727ac36dd8e0afe91798094f56cb907a","blok mieszkalny",48,3,4,1977,53.12813,23.08494,4.07,8,0.131,0.633,0.332,0.631,0.527,2.67,0.223,"no","yes","no","no","no",299000,292600
"2","Białystok","845b1960cb34d107d22f71183cec290c","blok mieszkalny",48,3,10,1970,53.1376779,23.1217826,1.64,7,0.342,0.71,0.881,0.148,0.122,1.337,0.304,"no","yes","yes","no","yes",339000,292600
"3","Białystok","500f39380a3e0367df357cb58edfdfcd","blok mieszkalny",59.7,3,11,1982,53.153605,23.1215062,2.75,17,0.344,0.317,0.517,0.063,0.069,2.527,0.019,"no","yes","yes","no","yes",419000,292600
"4","Białystok","aa8e2a34c5e4b801b523588947b074eb","blok mieszkalny",63.74,3,4,1960,53.13501161,23.16321938,1.21,61,0.171,0.246,0.322,0.151,0.053,0.725,0.135,"no","no","no","no","yes",509000,292600
"5","Białystok","1702564ecc190882d6e273f56712c598","blok mieszkalny",39,2,4,1979,53.1319,23.1367,0.59,13,0.346,0.408,0.207,0.175,0.387,0.371,0.179,"no","yes","no","no","yes",309000,292600
"6","Białystok","beae7744ddf01ab9f058f28c9332061b","blok mieszkalny",83.1,4,4,1991,53.1372677,23.1683069,1.6,41,0.092,0.66,0.306,0.253,0.002,0.363,0.106,"no","yes","no","no","yes",530000,292600
"7","Białystok","4158d8ca9bf625cb4fbbe8e6778162f8","blok mieszkalny",62.8,3,4,1979,53.1376052,23.1861666,2.77,12,0.192,0.514,0.481,0.275,0.325,1.02,0.223,"no","yes","no","no","yes",425000,292600
"8","Białystok","a77b54540f80df1e171359ba970ad914","blok mieszkalny",30.2,2,4,1972,53.14089384,23.09676862,3.34,3,0.972,1.16,0.661,0.389,0.28,2.665,0.302,"no","no","no","no","yes",310000,292600
"9","Białystok","133e6feb276cec6b0f90e82ac4cd3014","blok mieszkalny",60,3,4,1985,53.1515,23.1181,2.71,20,0.142,0.314,0.191,0.095,0.274,2.463,0.273,"no","yes","no","no","yes",420000,292600
"10","Białystok","7e440b7f6b7a040c3c38b5ab638841af","blok mieszkalny",75.47,4,8,2010,53.10227725,23.13652953,3.5,2,0.748,0.781,0.908,0.074,0.822,2.496,0.379,"no","yes","yes","no","no",556000,292600
"11","Białystok","ea0c6b5c2262645f5485240bd58a7774","blok mieszkalny",58,2,4,1963,53.13441373,23.12004089,1.69,4,0.376,0.829,0.731,0.527,0.406,1.248,0.278,"yes","yes","no","no","yes",389000,292600
